        Waves       Grating       DQE     M1_LiF   eLiF        A_eff         BEF     SCC
 1016 0.5625 0.3103 0.6139 0.6055  11.5313     2.1209e-17 0.00002
 1017 0.5625 0.3111 0.6207 0.6180  12.1677     2.0080e-17 0.00002
 1018 0.5625 0.3119 0.6275 0.6259  12.8277     1.9028e-17 0.00002
 1019 0.5625 0.3127 0.6335 0.6337  13.2715     1.8373e-17 0.00002
 1020 0.5625 0.3136 0.6363 0.6415  13.6484     1.7849e-17 0.00002
 1021 0.5625 0.3144 0.6391 0.6493  14.0326     1.7343e-17 0.00002
 1022 0.5625 0.3152 0.6420 0.6571  14.3479     1.6945e-17 0.00002
 1023 0.5625 0.3161 0.6448 0.6629  14.6464     1.6583e-17 0.00002
 1024 0.5625 0.3169 0.6476 0.6678  14.9494     1.6232e-17 0.00002
 1025 0.5625 0.3177 0.6504 0.6726  15.2569     1.5889e-17 0.00003
 1026 0.5625 0.3185 0.6533 0.6775  15.5689     1.5555e-17 0.00003
 1027 0.5625 0.3194 0.6561 0.6824  15.8745     1.5241e-17 0.00003
 1028 0.5625 0.3202 0.6589 0.6873  16.1720     1.4946e-17 0.00003
 1029 0.5625 0.3210 0.6613 0.6922  16.4620     1.4668e-17 0.00003
 1030 0.5625 0.3219 0.6635 0.6971  16.7523     1.4400e-17 0.00003
 1031 0.5625 0.3227 0.6657 0.7020  17.0463     1.4138e-17 0.00003
 1032 0.5625 0.3235 0.6679 0.7069  17.3441     1.3882e-17 0.00003
 1033 0.5625 0.3243 0.6702 0.7116  17.6455     1.3632e-17 0.00003
 1034 0.5625 0.3252 0.6724 0.7150  17.9508     1.3387e-17 0.00003
 1035 0.5625 0.3260 0.6746 0.7185  18.2599     1.3148e-17 0.00003
 1036 0.5625 0.3268 0.6768 0.7219  18.5726     1.2914e-17 0.00003
 1037 0.5625 0.3276 0.6786 0.7253  18.8360     1.2721e-17 0.00003
 1038 0.5625 0.3285 0.6798 0.7287  19.0813     1.2545e-17 0.00003
 1039 0.5625 0.3293 0.6809 0.7322  19.3287     1.2373e-17 0.00003
 1040 0.5625 0.3301 0.6821 0.7356  19.5783     1.2203e-17 0.00003
 1041 0.5625 0.3309 0.6833 0.7390  19.8302     1.2037e-17 0.00003
 1042 0.5625 0.3317 0.6845 0.7424  20.0256     1.1908e-17 0.00003
 1043 0.5625 0.3325 0.6856 0.7458  20.1863     1.1802e-17 0.00003
 1044 0.5625 0.3334 0.6868 0.7488  20.3479     1.1697e-17 0.00003
 1045 0.5625 0.3342 0.6880 0.7512  20.5105     1.1593e-17 0.00003
 1046 0.5625 0.3350 0.6891 0.7537  20.6740     1.1490e-17 0.00003
 1047 0.5625 0.3358 0.6903 0.7561  20.8385     1.1389e-17 0.00003
 1048 0.5625 0.3366 0.6915 0.7586  21.0040     1.1288e-17 0.00003
 1049 0.5625 0.3374 0.6926 0.7610  21.1705     1.1189e-17 0.00003
 1050 0.5625 0.3383 0.6938 0.7635  21.3294     1.1095e-17 0.00003
 1051 0.5625 0.3391 0.6938 0.7659  21.3970     1.1049e-17 0.00004
 1052 0.5625 0.3399 0.6935 0.7684  21.4569     1.1008e-17 0.00004
 1053 0.5625 0.3407 0.6933 0.7708  21.5169     1.0967e-17 0.00004
 1054 0.5625 0.3415 0.6930 0.7733  21.5769     1.0926e-17 0.00004
 1055 0.5625 0.3423 0.6928 0.7757  21.6369     1.0885e-17 0.00004
 1056 0.5625 0.3432 0.6925 0.7782  21.6970     1.0845e-17 0.00004
 1057 0.5625 0.3440 0.6922 0.7799  21.7571     1.0805e-17 0.00004
 1058 0.5625 0.3448 0.6920 0.7815  21.8173     1.0765e-17 0.00004
 1059 0.5625 0.3456 0.6917 0.7831  21.8773     1.0725e-17 0.00004
 1060 0.5625 0.3464 0.6915 0.7847  21.9371     1.0686e-17 0.00004
 1061 0.5625 0.3472 0.6920 0.7863  22.0215     1.0635e-17 0.00004
 1062 0.5625 0.3480 0.6938 0.7878  22.1473     1.0564e-17 0.00004
 1063 0.5625 0.3488 0.6956 0.7894  22.2734     1.0495e-17 0.00004
 1064 0.5625 0.3496 0.6974 0.7910  22.3999     1.0425e-17 0.00004
 1065 0.5625 0.3504 0.6992 0.7926  22.5269     1.0357e-17 0.00004
 1066 0.5625 0.3512 0.7010 0.7941  22.6543     1.0289e-17 0.00004
 1067 0.5625 0.3520 0.7029 0.7957  22.7838     1.0221e-17 0.00005
 1068 0.5625 0.3528 0.7046 0.7973  22.9191     1.0151e-17 0.00005
 1069 0.5625 0.3536 0.7046 0.7989  22.9989     1.0106e-17 0.00005
 1070 0.5625 0.3544 0.7046 0.8004  23.0788     1.0062e-17 0.00005
 1071 0.5625 0.3552 0.7046 0.8020  23.1589     1.0018e-17 0.00005
 1072 0.5625 0.3561 0.7046 0.8027  23.2391     9.9740e-18 0.00005
 1073 0.5625 0.3569 0.7046 0.8033  23.3195     9.9303e-18 0.00005
 1074 0.5625 0.3577 0.7045 0.8039  23.4000     9.8869e-18 0.00005
 1075 0.5625 0.3585 0.7045 0.8046  23.4807     9.8438e-18 0.00005
 1076 0.5625 0.3593 0.7045 0.8052  23.5615     9.8009e-18 0.00005
 1077 0.5625 0.3601 0.7045 0.8058  23.6424     9.7583e-18 0.00005
 1078 0.5625 0.3609 0.7045 0.8064  23.6996     9.7257e-18 0.00005
 1079 0.5625 0.3617 0.7045 0.8070  23.7369     9.7015e-18 0.00005
 1080 0.5625 0.3625 0.7045 0.8076  23.7739     9.6774e-18 0.00005
 1081 0.5625 0.3633 0.7045 0.8083  23.8103     9.6537e-18 0.00005
 1082 0.5625 0.3640 0.7048 0.8089  23.8569     9.6259e-18 0.00005
 1083 0.5625 0.3648 0.7055 0.8095  23.9153     9.5935e-18 0.00006
 1084 0.5625 0.3656 0.7062 0.8100  23.9731     9.5616e-18 0.00006
 1085 0.5625 0.3663 0.7069 0.8100  24.0304     9.5300e-18 0.00006
 1086 0.5625 0.3671 0.7076 0.8100  24.0877     9.4986e-18 0.00006
 1087 0.5625 0.3678 0.7083 0.8100  24.1450     9.4673e-18 0.00006
 1088 0.5625 0.3686 0.7090 0.8100  24.2594     9.4140e-18 0.00006
 1089 0.5625 0.3693 0.7097 0.8100  24.3744     9.3610e-18 0.00006
 1090 0.5625 0.3701 0.7104 0.8100  24.4897     9.3084e-18 0.00006
 1091 0.5625 0.3708 0.7110 0.8101  24.6054     9.2561e-18 0.00006
 1092 0.5625 0.3716 0.7117 0.8101  24.7215     9.2042e-18 0.00006
 1093 0.5625 0.3723 0.7124 0.8101  24.8379     9.1527e-18 0.00006
 1094 0.5625 0.3731 0.7131 0.8101  24.9548     9.1015e-18 0.00006
 1095 0.5625 0.3739 0.7138 0.8101  25.0385     9.0628e-18 0.00006
 1096 0.5625 0.3746 0.7145 0.8101  25.0970     9.0334e-18 0.00006
 1097 0.5625 0.3754 0.7152 0.8101  25.1556     9.0041e-18 0.00006
 1098 0.5625 0.3761 0.7159 0.8101  25.2141     8.9750e-18 0.00006
 1099 0.5625 0.3769 0.7166 0.8100  25.2727     8.9461e-18 0.00006
 1100 0.5625 0.3776 0.7172 0.8098  25.3313     8.9173e-18 0.00006
 1101 0.5625 0.3784 0.7179 0.8097  25.3898     8.8886e-18 0.00007
 1102 0.5625 0.3791 0.7186 0.8095  25.4472     8.8606e-18 0.00007
 1103 0.5625 0.3798 0.7193 0.8093  25.5019     8.8335e-18 0.00007
 1104 0.5625 0.3805 0.7200 0.8091  25.5536     8.8077e-18 0.00007
 1105 0.5625 0.3811 0.7204 0.8089  25.5796     8.7908e-18 0.00007
 1106 0.5625 0.3816 0.7205 0.8087  25.5919     8.7786e-18 0.00007
 1107 0.5625 0.3822 0.7206 0.8085  25.6027     8.7670e-18 0.00007
 1108 0.5625 0.3827 0.7207 0.8083  25.6134     8.7554e-18 0.00007
 1109 0.5625 0.3833 0.7208 0.8081  25.6240     8.7439e-18 0.00007
 1110 0.5625 0.3839 0.7209 0.8080  25.6346     8.7324e-18 0.00007
 1111 0.5625 0.3844 0.7211 0.8078  25.6450     8.7210e-18 0.00007
 1112 0.5625 0.3850 0.7212 0.8076  25.6555     8.7096e-18 0.00007
 1113 0.5625 0.3855 0.7213 0.8074  25.6658     8.6983e-18 0.00007
 1114 0.5625 0.3861 0.7214 0.8072  25.6761     8.6870e-18 0.00007
 1115 0.5625 0.3866 0.7215 0.8070  25.6863     8.6757e-18 0.00007
 1116 0.5625 0.3872 0.7216 0.8068  25.6965     8.6645e-18 0.00007
 1117 0.5625 0.3877 0.7217 0.8066  25.7066     8.6534e-18 0.00007
 1118 0.5625 0.3882 0.7218 0.8065  25.7123     8.6437e-18 0.00007
 1119 0.5625 0.3886 0.7219 0.8063  25.7108     8.6365e-18 0.00007
 1120 0.5625 0.3888 0.7220 0.8061  25.7019     8.6318e-18 0.00007
 1121 0.5625 0.3890 0.7221 0.8059  25.6856     8.6295e-18 0.00008
 1122 0.5625 0.3891 0.7222 0.8057  25.6621     8.6297e-18 0.00008
 1123 0.5625 0.3890 0.7223 0.8055  25.6315     8.6323e-18 0.00008
 1124 0.5625 0.3888 0.7224 0.8053  25.5945     8.6371e-18 0.00008
 1125 0.5625 0.3886 0.7225 0.8051  25.5510     8.6441e-18 0.00008
 1126 0.5625 0.3882 0.7226 0.8046  25.5011     8.6534e-18 0.00008
 1127 0.5625 0.3878 0.7228 0.8039  25.4449     8.6648e-18 0.00008
 1128 0.5625 0.3873 0.7229 0.8032  25.3863     8.6771e-18 0.00008
 1129 0.5625 0.3868 0.7232 0.8025  25.3344     8.6872e-18 0.00008
 1130 0.5625 0.3863 0.7237 0.8019  25.2914     8.6943e-18 0.00008
 1131 0.5625 0.3858 0.7243 0.8012  25.2540     8.6994e-18 0.00008
 1132 0.5625 0.3840 0.7248 0.8005  25.1358     8.7326e-18 0.00008
 1133 0.5625 0.3822 0.7254 0.7999  25.0168     8.7664e-18 0.00008
 1134 0.5625 0.3803 0.7259 0.7992  24.8969     8.8008e-18 0.00008
 1135 0.5625 0.3785 0.7264 0.7985  24.7763     8.8359e-18 0.00008
 1136 0.5625 0.3766 0.7270 0.7978  24.6548     8.8716e-18 0.00008
 1137 0.5625 0.3761 0.7275 0.7972  24.6190     8.8767e-18 0.00008
 1138 0.5625 0.3755 0.7281 0.7965  24.5832     8.8818e-18 0.00008
 1139 0.5625 0.3750 0.7286 0.7958  24.5474     8.8869e-18 0.00008
 1140 0.5625 0.3744 0.7292 0.7951  24.5116     8.8921e-18 0.00008
 1141 0.5625 0.3739 0.7297 0.7945  24.4758     8.8973e-18 0.00008
 1142 0.5625 0.3732 0.7303 0.7938  24.4306     8.9060e-18 0.00008
 1143 0.5625 0.3723 0.7308 0.7931  24.3733     8.9191e-18 0.00008
 1144 0.5625 0.3712 0.7314 0.7925  24.3039     8.9368e-18 0.00008
 1145 0.5625 0.3700 0.7319 0.7919  24.2225     8.9590e-18 0.00008
 1146 0.5625 0.3685 0.7325 0.7914  24.1290     8.9858e-18 0.00008
 1147 0.5625 0.3671 0.7330 0.7909  24.0328     9.0140e-18 0.00008
 1148 0.5625 0.3656 0.7336 0.7904  23.9238     9.0471e-18 0.00008
 1149 0.5625 0.3641 0.7341 0.7899  23.8031     9.0851e-18 0.00008
 1150 0.5625 0.3627 0.7347 0.7894  23.6827     9.1234e-18 0.00008
 1151 0.5625 0.3612 0.7352 0.7889  23.5623     9.1620e-18 0.00008
 1152 0.5625 0.3597 0.7358 0.7884  23.4422     9.2009e-18 0.00008
 1153 0.5625 0.3582 0.7361 0.7879  23.3142     9.2434e-18 0.00008
 1154 0.5625 0.3567 0.7360 0.7874  23.1709     9.2925e-18 0.00008
 1155 0.5625 0.3552 0.7358 0.7869  23.0250     9.3433e-18 0.00008
 1156 0.5625 0.3536 0.7357 0.7864  22.8765     9.3958e-18 0.00008
 1157 0.5625 0.3519 0.7356 0.7859  22.7253     9.4502e-18 0.00008
 1158 0.5625 0.3502 0.7355 0.7854  22.5715     9.5064e-18 0.00008
 1159 0.5625 0.3485 0.7354 0.7849  22.4178     9.5633e-18 0.00008
 1160 0.5625 0.3468 0.7353 0.7844  22.2645     9.6208e-18 0.00008
 1161 0.5625 0.3451 0.7352 0.7839  22.1117     9.6789e-18 0.00008
 1162 0.5625 0.3433 0.7351 0.7834  21.9594     9.7377e-18 0.00008
 1163 0.5625 0.3416 0.7350 0.7829  21.8076     9.7970e-18 0.00008
 1164 0.5625 0.3399 0.7349 0.7824  21.6562     9.8570e-18 0.00008
 1165 0.5625 0.3382 0.7347 0.7819  21.5054     9.9177e-18 0.00008
 1166 0.5625 0.3365 0.7346 0.7814  21.3609     9.9762e-18 0.00008
 1167 0.5625 0.3348 0.7345 0.7809  21.2233     1.0032e-17 0.00008
 1168 0.5625 0.3331 0.7344 0.7804  21.0859     1.0089e-17 0.00008
 1169 0.5625 0.3314 0.7343 0.7799  20.9489     1.0146e-17 0.00008
 1170 0.5625 0.3297 0.7342 0.7792  20.8122     1.0204e-17 0.00008
 1171 0.5625 0.3279 0.7341 0.7782  20.6758     1.0263e-17 0.00008
 1172 0.5625 0.3262 0.7340 0.7771  20.5397     1.0322e-17 0.00008
 1173 0.5625 0.3245 0.7339 0.7761  20.4039     1.0382e-17 0.00008
 1174 0.5625 0.3228 0.7338 0.7751  20.2663     1.0443e-17 0.00008
 1175 0.5625 0.3210 0.7336 0.7740  20.1269     1.0507e-17 0.00008
 1176 0.5625 0.3192 0.7335 0.7730  19.9858     1.0572e-17 0.00008
 1177 0.5625 0.3173 0.7334 0.7719  19.8430     1.0639e-17 0.00007
 1178 0.5625 0.3155 0.7333 0.7709  19.6984     1.0708e-17 0.00007
 1179 0.5625 0.3136 0.7332 0.7699  19.5541     1.0778e-17 0.00007
 1180 0.5625 0.3117 0.7331 0.7688  19.4100     1.0849e-17 0.00007
 1181 0.5625 0.3098 0.7329 0.7678  19.2663     1.0920e-17 0.00007
 1182 0.5625 0.3080 0.7328 0.7667  19.1230     1.0993e-17 0.00007
 1183 0.5625 0.3061 0.7327 0.7657  18.9801     1.1066e-17 0.00007
 1184 0.5625 0.3042 0.7326 0.7647  18.8384     1.1140e-17 0.00007
