wavelength_100s,photons_100s,wavelength_1000s,photons_1000s
1.101000000000000000e+03,6.977212092825254786e+02,1.101000000000000000e+03,6.977212092825255240e+03
1.103000000000000000e+03,6.954673344826179573e+02,1.103000000000000000e+03,6.954673344826181165e+03
1.105000000000000000e+03,6.877161096215085081e+02,1.105000000000000000e+03,6.877161096215085308e+03
1.107000000000000000e+03,6.934117756710809317e+02,1.107000000000000000e+03,6.934117756710808862e+03
1.109000000000000000e+03,6.886768891889250881e+02,1.109000000000000000e+03,6.886768891889249971e+03
1.111000000000000000e+03,6.903207685028925198e+02,1.111000000000000000e+03,6.903207685028924971e+03
1.113000000000000000e+03,6.904718335600748560e+02,1.113000000000000000e+03,6.904718335600748105e+03
1.115000000000000000e+03,6.923574781754052765e+02,1.115000000000000000e+03,6.923574781754053220e+03
1.117000000000000000e+03,6.873420911740122392e+02,1.117000000000000000e+03,6.873420911740122392e+03
1.119000000000000000e+03,6.970191412468193448e+02,1.119000000000000000e+03,6.970191412468193448e+03
1.121000000000000000e+03,7.001625742313158298e+02,1.121000000000000000e+03,7.001625742313158298e+03
1.123000000000000000e+03,6.818349792207466180e+02,1.123000000000000000e+03,6.818349792207466635e+03
1.125000000000000000e+03,6.923976936453094595e+02,1.125000000000000000e+03,6.923976936453093913e+03
1.127000000000000000e+03,6.752213396066041469e+02,1.127000000000000000e+03,6.752213396066041241e+03
1.129000000000000000e+03,6.665698496751832636e+02,1.129000000000000000e+03,6.665698496751833773e+03
1.131000000000000000e+03,6.685746937155755631e+02,1.131000000000000000e+03,6.685746937155755404e+03
1.133000000000000000e+03,6.592520236276302512e+02,1.133000000000000000e+03,6.592520236276302057e+03
1.135000000000000000e+03,5.981667953090806122e+02,1.135000000000000000e+03,5.981667953090804986e+03
1.137000000000000000e+03,6.422230069768731937e+02,1.137000000000000000e+03,6.422230069768731482e+03
1.139000000000000000e+03,6.403773200120459705e+02,1.139000000000000000e+03,6.403773200120459478e+03
1.141000000000000000e+03,6.354469298991219830e+02,1.141000000000000000e+03,6.354469298991219148e+03
1.143000000000000000e+03,6.279106416960487422e+02,1.143000000000000000e+03,6.279106416960487877e+03
1.145000000000000000e+03,6.141851115302862354e+02,1.145000000000000000e+03,6.141851115302863036e+03
1.147000000000000000e+03,6.130043561543269561e+02,1.147000000000000000e+03,6.130043561543268879e+03
1.149000000000000000e+03,6.056302601767766873e+02,1.149000000000000000e+03,6.056302601767766646e+03
1.151000000000000000e+03,3.569293903189399657e+02,1.151000000000000000e+03,3.569293903189400226e+03
1.153000000000000000e+03,9.468806858128866679e+02,1.153000000000000000e+03,9.468806858128866224e+03
1.155000000000000000e+03,6.059511608842479973e+02,1.155000000000000000e+03,6.059511608842479291e+03
1.157000000000000000e+03,6.844857348399973489e+02,1.157000000000000000e+03,6.844857348399972580e+03
1.159000000000000000e+03,6.219265650381177011e+02,1.159000000000000000e+03,6.219265650381176783e+03
1.161000000000000000e+03,6.166248394436790932e+02,1.161000000000000000e+03,6.166248394436790477e+03
1.163000000000000000e+03,8.820178823037989559e+02,1.163000000000000000e+03,8.820178823037989787e+03
1.165000000000000000e+03,5.869387602967534576e+02,1.165000000000000000e+03,5.869387602967533894e+03
1.167000000000000000e+03,6.204573602919907671e+02,1.167000000000000000e+03,6.204573602919907898e+03
1.169000000000000000e+03,4.803317332625065887e+02,1.169000000000000000e+03,4.803317332625066229e+03
1.171000000000000000e+03,4.863242172086497135e+02,1.171000000000000000e+03,4.863242172086496794e+03
1.173000000000000000e+03,5.603970038652411176e+02,1.173000000000000000e+03,5.603970038652411858e+03
1.175000000000000000e+03,8.890760129368547950e+02,1.175000000000000000e+03,8.890760129368547496e+03
1.177000000000000000e+03,3.978097201805991290e+02,1.177000000000000000e+03,3.978097201805991517e+03
1.179000000000000000e+03,4.543850124545973017e+02,1.179000000000000000e+03,4.543850124545972903e+03
1.181000000000000000e+03,4.163299591962689306e+02,1.181000000000000000e+03,4.163299591962689192e+03
1.183000000000000000e+03,3.721467680719322857e+02,1.183000000000000000e+03,3.721467680719322743e+03
1.185000000000000000e+03,7.192668163882721046e+02,1.185000000000000000e+03,7.192668163882720364e+03
1.187000000000000000e+03,5.236925883250702327e+02,1.187000000000000000e+03,5.236925883250702100e+03
1.189000000000000000e+03,2.942379981588393321e+02,1.189000000000000000e+03,2.942379981588393548e+03
1.191000000000000000e+03,3.408510985370548383e+02,1.191000000000000000e+03,3.408510985370548497e+03
1.193000000000000000e+03,3.505623252127474530e+02,1.193000000000000000e+03,3.505623252127474188e+03
1.195000000000000000e+03,6.307428690568913225e+02,1.195000000000000000e+03,6.307428690568912316e+03
1.197000000000000000e+03,3.388556975318041964e+02,1.197000000000000000e+03,3.388556975318041623e+03
